Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,Continent_Country,Lat_Long
SL,2023-03-10,7760,0,126.0,0.0,4893.0,0,2741.0,0,259958.0,8306436,AF,"1,070","AF,SL","(8.6400349, -11.8400269)"
SG,2023-03-10,2230570,0,1722.0,0.0,2149583.0,0,79265.0,1,24756666.0,5943546,AS,3,"AS,SG","(1.357107, 103.8194992)"
SK,2023-03-10,1863974,109,21036.0,1.0,1841555.0,93,1383.0,25,7408595.0,5460193,EU,3,"EU,SK","(48.7411522, 19.4528646)"
SI,2023-03-10,1332121,412,7078.0,1.0,1319715.0,375,5328.0,5,2841151.0,2078034,EU,2,"EU,SI","(46.1199444, 14.8153333)"
SO,2023-03-10,27324,0,1361.0,0.0,13182.0,0,12781.0,0,400466.0,16841795,AF,616,"AF,SO","(8.3676771, 49.083416)"
ZA,2023-03-10,4067453,386,102595.0,0.0,3912506.0,0,52352.0,192,26795090.0,60756135,AF,15,"AF,ZA","(-28.8166236, 24.991639)"
SS,2023-03-10,18368,0,138.0,0.0,18115.0,0,115.0,1,410280.0,11618511,AF,633,"AF,SS","(7.8699431, 29.6667897)"
ES,2023-03-10,13778467,1150,119618.0,19.0,13624507.0,1179,34342.0,231,471036328.0,46719142,EU,3,"EU,ES","(39.3260685, -4.8379791)"
LK,2023-03-10,672040,1,16830.0,0.0,655203.0,0,7.0,0,6486117.0,21575842,AS,32,"AS,LK","(7.5554942, 80.7137847)"
SD,2023-03-10,63829,0,5017.0,0.0,58492.0,0,320.0,0,562941.0,45992020,AF,721,"AF,SD","(14.5844444, 29.4917691)"
SE,2023-03-10,2699339,0,23749.0,0.0,2672273.0,0,3317.0,8,19477620.0,10218971,EU,4,"EU,SE","(59.6749712, 14.5208584)"
CH,2023-03-10,4392464,0,14452.0,0.0,4373995.0,0,4017.0,39,23833472.0,8773637,EU,2,"EU,CH","(46.7985624, 8.2319736)"
SY,2023-03-10,57467,0,3164.0,0.0,54303.0,0,0.0,0,146269.0,19364809,AS,337,"AS,SY","(34.6401861, 39.0494106)"
TW,2023-03-10,10152881,9098,18425.0,54.0,9890910.0,14958,243546.0,0,30742304.0,23888595,AS,2,"AS,TW","(23.9739374, 120.9820179)"
TJ,2023-03-10,17786,0,125.0,0.0,17264.0,0,397.0,0,1106385.0,9957464,AS,560,"AS,TJ","(38.6281733, 70.8156541)"
TZ,2023-03-10,42906,0,846.0,0.0,156.0,0,41904.0,7,1978080.0,63298550,AF,"1,475","AF,TZ","(-6.5247123, 35.7878438)"
TH,2023-03-10,4728182,0,33918.0,0.0,4692636.0,0,1628.0,0,17270775.0,70078203,AS,15,"AS,TH","(50.9014721, 11.0377839)"
TL,2023-03-10,23419,0,138.0,0.0,23102.0,0,179.0,0,278529.0,1369429,AS,58,"AS,TL","(-8.7443169, 126.063482)"
TG,2023-03-10,39404,8,290.0,0.0,39081.0,0,33.0,0,808904.0,8680837,AF,220,"AF,TG","(8.7800265, 1.0199765)"
TT,2023-03-10,189918,0,4355.0,0.0,185101.0,0,462.0,8,900861.0,1406585,NA,7,"NA,TT","(10.7466905, -61.0840075)"
TN,2023-03-10,1151126,0,29341.0,0.0,1110003.0,0,11782.0,44,5003083.0,12046656,AF,10,"AF,TN","(33.8439408, 9.400138)"
TR,2023-03-10,17042722,0,101492.0,0.0,16785593.0,0,155637.0,0,162743369.0,85561976,AS,5,"AS,TR","(38.9597594, 34.9249653)"
Unknown,2023-03-10,1053403,190,2349.0,0.0,1036006.0,76,15048.0,0,199427059.0,10081785,AS,10,"AS,Unknown","(25.029422, -77.36195598496681)"
