Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Active Cases/1M pop
Czechia,2023-03-04,4613885,983,42465.0,5.0,4561628.0,1364,9792.0,45,57017713.0,10736784,Europe,2,253,0.0,912.0
Czechia,2023-03-05,4614022,137,42465.0,0.0,4562774.0,1149,8783.0,39,57018324.0,10736784,Europe,2,253,0.0,818.0
Czechia,2023-03-06,4614022,0,42465.0,0.0,4562774.0,0,8783.0,39,57018324.0,10736784,Europe,2,253,0.0,818.0
DPRK,2023-03-02,4772813,0,74.0,0.0,4772739.0,0,0.0,0,,25990679,Asia,5,"351,225",,0.0
DPRK,2023-03-03,4772813,0,74.0,0.0,4772739.0,0,0.0,0,,25990679,Asia,5,"351,225",,0.0
DPRK,2023-03-04,4772813,0,74.0,0.0,4772739.0,0,0.0,0,,25990679,Asia,5,"351,225",,0.0
DPRK,2023-03-05,4772813,0,74.0,0.0,4772739.0,0,0.0,0,,25990679,Asia,5,"351,225",,0.0
DPRK,2023-03-06,4772813,0,74.0,0.0,4772739.0,0,0.0,0,,25990679,Asia,5,"351,225",,0.0
DRC,2023-03-02,95749,0,1464.0,0.0,84285.0,0,10000.0,0,846704.0,95240792,Africa,995,"65,055",112.0,105.0
DRC,2023-03-03,95749,0,1464.0,0.0,84285.0,0,10000.0,0,846704.0,95240792,Africa,995,"65,055",112.0,105.0
DRC,2023-03-04,95749,0,1464.0,0.0,84285.0,0,10000.0,0,846704.0,95240792,Africa,995,"65,055",112.0,105.0
DRC,2023-03-05,95749,0,1464.0,0.0,84285.0,0,10000.0,0,846704.0,95240792,Africa,995,"65,055",112.0,105.0
DRC,2023-03-06,95749,0,1464.0,0.0,84285.0,0,10000.0,0,846704.0,95240792,Africa,995,"65,055",112.0,105.0
Denmark,2023-03-02,3175332,68,8272.0,3.0,3166156.0,76,904.0,19,129198860.0,5834950,Europe,2,705,0.0,155.0
Denmark,2023-03-03,3175405,73,8274.0,2.0,3166221.0,65,910.0,19,129200291.0,5834950,Europe,2,705,0.0,156.0
Denmark,2023-03-04,3175474,69,8277.0,3.0,3166217.0,0,980.0,19,129201848.0,5834950,Europe,2,705,0.0,168.0
Denmark,2023-03-05,3175509,35,8281.0,4.0,3166341.0,124,887.0,19,129202569.0,5834950,Europe,2,705,0.0,152.0
Denmark,2023-03-06,3175509,0,8281.0,0.0,3166341.0,0,887.0,19,129202569.0,5834950,Europe,2,705,0.0,152.0
Djibouti,2023-03-02,15690,0,189.0,0.0,15427.0,0,74.0,0,305941.0,1016097,Africa,65,"5,376",3.0,73.0
Djibouti,2023-03-03,15690,0,189.0,0.0,15427.0,0,74.0,0,305941.0,1016097,Africa,65,"5,376",3.0,73.0
Djibouti,2023-03-04,15690,0,189.0,0.0,15427.0,0,74.0,0,305941.0,1016097,Africa,65,"5,376",3.0,73.0
Djibouti,2023-03-05,15690,0,189.0,0.0,15427.0,0,74.0,0,305941.0,1016097,Africa,65,"5,376",3.0,73.0
